MoveToSharePoint,MoveToSharePoint,E:\Sripts\Leaner tracking\Practical\Images\Access\MoveToSharePoint.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MoveToSharePoint.png,Local Access VBA GetImageMso:FilePublishToSharePoint
NavigationFormGallery,NavigationFormGallery,E:\Sripts\Leaner tracking\Practical\Images\Access\NavigationFormGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\NavigationFormGallery.png,Local Access VBA GetImageMso:RmsNavigationBar
PageMarginsGallery,Margins,E:\Sripts\Leaner tracking\Practical\Images\Access\PageMarginsGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageMarginsGallery.png,Local Access VBA GetImageMso:PageMarginsGallery
PageNumbersInsert,PageNumbersInsert,E:\Sripts\Leaner tracking\Practical\Images\Access\PageNumbersInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageNumbersInsert.png,Local Access VBA GetImageMso:HeaderFooterPageNumberInsert
PageOrientationLandscape,PageOrientationLandscape,E:\Sripts\Leaner tracking\Practical\Images\Access\PageOrientationLandscape.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageOrientationLandscape.png,Local Access VBA GetImageMso:PageOrientationLandscape
PageOrientationPortrait,PageOrientationPortrait,E:\Sripts\Leaner tracking\Practical\Images\Access\PageOrientationPortrait.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageOrientationPortrait.png,Local Access VBA GetImageMso:PageOrientationPortrait
PageSetupDialog,PageSetupDialog,E:\Sripts\Leaner tracking\Practical\Images\Access\PageSetupDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageSetupDialog.png,Local Access VBA GetImageMso:PageSetupDialog
PageSizeGallery,Size,E:\Sripts\Leaner tracking\Practical\Images\Access\PageSizeGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PageSizeGallery.png,Local Access VBA GetImageMso:PageSizeGallery
Paste,Paste,E:\Sripts\Leaner tracking\Practical\Images\Access\Paste.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Paste.png,Local Access VBA GetImageMso:Paste
PrimaryKey,PrimaryKey,E:\Sripts\Leaner tracking\Practical\Images\Access\PrimaryKey.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\PrimaryKey.png,Local Access VBA GetImageMso:AdpPrimaryKey
